#Hybrid model for DM Sun simulation 
#High metallicity hybrid model (BS05(OP) + CONV + FON_AGS05) 
#Radius Density Electron density 
#(R_sun) (g/cm^3) (cm^-3/N_A) 
0.00487 152.7 102.29969446199999
0.00488 152.7 102.29893096200001
0.0049 152.7 102.30045796199998
0.00492 152.7 102.30045796199998
0.00493 152.7 102.29969446199998
0.00495 152.7 102.30122146199999
0.00496 152.7 102.30045796199998
0.00498 152.7 102.30198496199999
0.00499 152.7 102.30122146199999
0.00501 152.7 102.302748462
0.00502 152.7 102.30198572549999
0.00504 152.7 102.3035127255
0.00505 152.7 102.3035127255
0.00507 152.7 102.3027492255
0.00508 152.7 102.30427622549999
0.0051 152.7 102.30351272549998
0.00512 152.7 102.30503972549998
0.00513 152.7 102.30427622549999
0.00515 152.7 102.30580322549999
0.00516 152.7 102.30503972549998
0.00518 152.7 102.30656672549999
0.0052 152.6 102.23956831899999
0.00521 152.6 102.241094319
0.00523 152.6 102.24033131899999
0.00524 152.6 102.241857319
0.00526 152.6 102.241094319
0.00528 152.6 102.242620319
0.00529 152.6 102.241857319
0.00531 152.6 102.243383319
0.00532 152.6 102.242620319
0.00534 152.6 102.24414631899998
0.00536 152.6 102.243383319
0.00537 152.6 102.24490931899999
0.00539 152.6 102.24414631899998
0.00541 152.6 102.245672319
0.00542 152.6 102.245672319
0.00544 152.6 102.246435319
0.00546 152.6 102.24796131900001
0.00547 152.6 102.24719908200001
0.00549 152.6 102.24872508199999
0.00551 152.6 102.247962082
0.00552 152.6 102.249488082
0.00554 152.6 102.24872508199999
0.00556 152.6 102.25025108199999
0.00558 152.6 102.249488082
0.00559 152.6 102.250251082
0.00561 152.6 102.251777082
0.00563 152.6 102.251014082
0.00564 152.6 102.252540082
0.00566 152.6 102.251777082
0.00568 152.6 102.253303082
0.0057 152.6 102.252540082
0.00571 152.6 102.253303082
0.00573 152.6 102.254829082
0.00575 152.6 102.25406608200001
0.00577 152.6 102.255592082
0.00578 152.6 102.254829082
0.0058 152.6 102.25559208199999
0.00582 152.6 102.257118082
0.00584 152.6 102.256355082
0.00586 152.6 102.257881082
0.00588 152.6 102.258644082
0.00589 152.6 102.257881845
0.00591 152.6 102.259407845
0.00593 152.6 102.258644845
0.00595 152.6 102.259407845
0.00597 152.5 102.1939214375
0.00598 152.5 102.19315893749999
0.006 152.5 102.1939214375
0.00602 152.5 102.1954464375
0.00604 152.5 102.19468393749999
0.00606 152.5 102.1954464375
0.00608 152.5 102.19697143750001
0.00609 152.5 102.1962089375
0.00611 152.5 102.1969714375
0.00613 152.5 102.19849643749998
0.00615 152.5 102.1977339375
0.00617 152.5 102.19849643749998
0.00619 152.5 102.2000214375
0.00621 152.5 102.2007839375
0.00623 152.5 102.2000214375
0.00625 152.5 102.2015464375
0.00627 152.5 102.20230969999999
0.00629 152.5 102.20154720000001
0.00631 152.5 102.20230969999999
0.00633 152.5 102.20383469999999
0.00634 152.5 102.20459719999998
0.00636 152.5 102.20383469999999
0.00638 152.5 102.20459719999998
0.0064 152.5 102.2061222
0.00642 152.5 102.2068847
0.00644 152.5 102.2061222
0.00646 152.5 102.2068847
0.00648 152.5 102.20840969999999
0.0065 152.5 102.20917219999998
0.00652 152.5 102.20840969999999
0.00654 152.5 102.20917219999998
0.00656 152.5 102.2106972
0.00658 152.5 102.21145969999999
0.0066 152.5 102.2106972
0.00662 152.5 102.21145969999999
0.00664 152.5 102.2129854625
0.00666 152.4 102.14672255400001
0.00668 152.4 102.14596055400003
0.00671 152.4 102.14824655400001
0.00673 152.4 102.149008554
0.00677 152.4 102.149008554
0.00681 152.4 102.15129455400003
0.00682 152.4 102.15053255400002
0.00686 152.4 102.152818554
0.00688 152.4 102.153580554
0.00691 152.4 102.15434255400001
0.00693 152.4 102.15510455400002
0.00697 152.4 102.15510531600002
0.00699 152.4 102.155867316
0.00703 152.4 102.158153316
0.00706 152.4 102.158153316
0.00709 152.4 102.158915316
0.00711 152.4 102.15967731600001
0.00713 152.4 102.16043931600001
0.00715 152.4 102.161201316
0.00718 152.4 102.16272531599999
0.0072 152.4 102.163487316
0.00722 152.4 102.16424931600001
0.00726 152.3 102.09873540700002
0.0073 152.3 102.09873616850001
0.00734 152.3 102.1002591685
0.00736 152.3 102.1017821685
0.0074 152.3 102.10330516850001
0.00742 152.3 102.10406666850001
0.00745 152.3 102.1048281685
0.00747 152.3 102.10558966849999
0.0075 152.3 102.1063511685
0.00754 152.3 102.1078741685
0.00759 152.3 102.10863566850001
0.00763 152.3 102.11092093
0.00765 152.3 102.11168243
0.00769 152.3 102.11320543000002
0.00771 152.3 102.11396693000002
0.00775 152.3 102.11548993000002
0.00778 152.3 102.11625143
0.0078 152.3 102.11701293000002
0.00783 152.3 102.11701293000002
0.00788 152.2 102.05148502
0.0079 152.2 102.05224602000001
0.00795 152.2 102.055290781
0.00798 152.2 102.056051781
0.00803 152.2 102.056812781
0.00808 152.2 102.059856781
0.0081 152.2 102.06061778099999
0.00815 152.2 102.062139781
0.00818 152.2 102.06442278100002
0.00823 152.2 102.06518454199998
0.00828 152.2 102.068228542
0.00831 152.2 102.068989542
0.00836 152.2 102.069750542
0.00839 152.1 102.004969131
0.00844 152.1 102.00725063099999
0.00847 152.1 102.008011131
0.00852 152.1 102.0102933915
0.00857 152.1 102.0110538915
0.0086 152.1 102.0133353915
0.00865 152.1 102.01409589149999
0.00868 152.1 102.0163773915
0.00873 152.1 102.01865889149998
0.00879 152.1 102.01942015199998
0.00882 152.1 102.021701652
0.00887 152.0 101.95690623999998
0.0089 152.0 101.95690623999998
0.00896 152.0 101.95918624
0.00901 152.0 101.96146700000001
0.00904 152.0 101.96374700000001
0.0091 152.0 101.9660194
0.00916 152.0 101.96829939999999
0.00918 152.0 101.96829939999999
0.00924 152.0 101.9720994
0.00927 152.0 101.97210015999998
0.00933 152.0 101.97438016
0.00939 151.9 101.911089252
0.00942 151.9 101.911089252
0.00947 151.9 101.914886752
0.00951 151.9 101.9148875115
0.00957 151.9 101.9186850115
0.00963 151.9 101.9202040115
0.00966 151.9 101.9224825115
0.00972 151.9 101.92400151150001
0.00975 151.9 101.92552127100001
0.00981 151.8 101.86221586200003
0.00987 151.8 101.863733862
0.0099 151.8 101.86525186200001
0.00996 151.8 101.869046862
0.01 151.8 101.87056562100001
0.01006 151.8 101.87208362100002
0.01012 151.8 101.875119621
0.01015 151.8 101.87663762100001
0.01022 151.8 101.88043338
0.01025 151.7 101.81483546999999
0.01032 151.7 101.81862796999998
0.01038 151.7 101.82166197000001
0.01041 151.7 101.82317896999999
0.01048 151.7 101.8262137285
0.01051 151.7 101.82773072849999
0.01058 151.7 101.83076472849999
0.01064 151.6 101.76591231799999
0.01067 151.6 101.767429076
0.01074 151.6 101.77046107599999
0.01077 151.6 101.77349307600001
0.01084 151.6 101.776525076
0.01091 151.6 101.778799834
0.01094 151.6 101.78031583399999
0.01101 151.6 101.784863834
0.01105 151.5 101.7192384225
0.01112 151.5 101.72302668
0.01118 151.5 101.72529918000001
0.01122 151.5 101.72832918
0.01129 151.5 101.73135993749999
0.01132 151.5 101.7321174375
0.0114 151.5 101.73590493749998
0.01147 151.4 101.67329452499999
0.0115 151.4 101.67556628200002
0.01157 151.4 101.67783728200001
0.01161 151.4 101.68086528200001
0.01168 151.4 101.684650282
0.01175 151.4 101.688436039
0.01179 151.4 101.689193039
0.01186 151.3 101.62580962550001
0.0119 151.3 101.628836382
0.01198 151.3 101.631862382
0.01205 151.3 101.637157882
0.01209 151.3 101.63791513849999
0.01216 151.3 101.6439671385
0.0122 151.2 101.579054724
0.01228 151.2 101.58283547999999
0.01236 151.2 101.58737147999999
0.01239 151.2 101.58812747999998
0.01247 151.2 101.593420236
0.01251 151.2 101.595688236
0.01259 151.1 101.5330283205
0.01267 151.1 101.53756207600001
0.01271 151.1 101.53982857599999
0.01278 151.1 101.54285057599999
0.01282 151.1 101.5466288315
0.0129 151.0 101.483953915
0.01298 151.0 101.48848391499999
0.01302 151.0 101.49074967
0.0131 151.0 101.49527967
0.01314 151.0 101.49754466999998
0.01322 150.9 101.4341010075
0.01331 150.9 101.44013700750001
0.01335 150.9 101.442401262
0.01342 150.9 101.446928262
0.01347 150.9 101.44843726200001
0.01355 150.8 101.387241098
0.01363 150.8 101.391011098
0.01375 150.8 101.400059852
0.01379 150.8 101.40307585200001
0.01392 150.7 101.34336818649999
0.014 150.7 101.3471356865
0.01412 150.7 101.35617844000001
0.01421 150.6 101.294193273
0.01429 150.6 101.29795827299999
0.01441 150.6 101.30699502599998
0.01454 150.5 101.24649935750001
0.01462 150.5 101.25327185750001
0.01474 150.5 101.26079761
0.01486 150.4 101.20178744
0.0149 150.4 101.20404344
0.01502 150.4 101.21231619199999
0.0151 150.3 101.149529769
0.0152 150.3 101.1555425205
0.01532 150.3 101.16531277200001
0.01542 150.2 101.10476359899998
0.01548 150.2 101.10926959899999
0.01562 150.2 101.11828234999999
0.01571 150.1 101.0569646755
0.01584 150.1 101.066721926
0.01598 150.0 101.00838900000001
0.01607 150.0 101.01513974999999
0.0162 149.9 100.95829007299999
0.01634 149.9 100.9672848225
0.01643 149.9 100.974780572
0.01657 149.8 100.917156893
0.01671 149.8 100.926894642
0.0168 149.7 100.86625671299998
0.01694 149.7 100.87673646149999
0.01708 149.6 100.819824028
0.01718 149.6 100.826556028
0.01731 149.5 100.769624345
0.01746 149.5 100.7808375925
0.01755 149.4 100.72014940800001
0.01769 149.4 100.73135515500002
0.01784 149.3 100.675129469
0.01794 149.3 100.68333425050001
0.01808 149.2 100.62783406800001
0.01822 149.2 100.63827881399999
0.01832 149.1 100.57828262999999
0.01846 149.1 100.58946587550001
0.01861 149.0 100.53392293499999
0.01871 149.0 100.542862935
0.01885 148.9 100.48580899250001
0.019 148.8 100.431716304
0.0191 148.8 100.43990104800001
0.01924 148.7 100.38504135799998
0.01939 148.7 100.3976816015
0.01949 148.6 100.33833841
0.01969 148.6 100.35394289599999
0.01984 148.5 100.3005182025
0.01994 148.4 100.240396508
0.02009 148.4 100.25449525
0.0202 148.3 100.19583705400002
0.02035 148.3 100.208444037
0.0205 148.2 100.154211339
0.02071 148.1 100.1058853805
0.02086 148.0 100.05087341999999
0.02102 148.0 100.06493415999999
0.02112 147.9 100.00767645750001
0.02128 147.8 99.954100493
0.02144 147.8 99.96814223199999
0.02155 147.7 99.91010602649999
0.0217 147.6 99.85796155799999
0.02186 147.6 99.87272229599998
0.02197 147.5 99.81390858750001
0.02213 147.4 99.760979615
0.02229 147.4 99.77719508900002
0.02256 147.2 99.66830966399999
0.02273 147.1 99.61604718549998
0.023 147.0 99.57478944
0.02317 146.9 99.52247745700002
0.02344 146.8 99.481154472
0.02361 146.7 99.43025998499999
0.02388 146.6 99.390330899
0.02405 146.5 99.33938291249999
0.02433 146.3 99.233028202
0.0245 146.2 99.18128321
0.02479 146.1 99.14339644649999
0.02496 146.0 99.09305795
0.02525 145.8 98.98793495100001
0.02542 145.8 99.00543240900001
0.02571 145.6 98.90092867199999
0.02589 145.5 98.85264616500001
0.02618 145.3 98.74655564500002
0.02637 145.2 98.698198632
0.02666 145.1 98.66214956799999
0.02685 145.0 98.61590505
0.02715 144.8 98.511742008
0.02733 144.7 98.46396848399998
0.02764 144.5 98.36255743
0.02795 144.3 98.261050368
0.0282 144.2 98.22179755499998
0.02851 144.0 98.12156328
0.02883 143.8 98.021955926
0.0292 143.6 97.928708562
0.0294 143.5 97.8827570175
0.02971 143.3 97.78431313899999
0.03002 143.1 97.684331535
0.03022 143.0 97.63895069499999
0.03049 142.8 97.53523957799999
0.03069 142.7 97.49119872999998
0.03104 142.5 97.3958893125
0.03131 142.3 97.29334817350001
0.03159 142.1 97.1907110265
0.03201 141.9 97.10500800000001
0.03236 141.6 96.94431954
0.03258 141.5 96.90273679250001
0.03293 141.3 96.81098850000001
0.03315 141.1 96.70148105499997
0.03351 140.9 96.610205545
0.03389 140.6 96.45231706
0.03418 140.4 96.35232204
0.0347 140.1 96.21369531449999
0.03493 139.9 96.10713028050002
0.03531 139.7 96.01863054299997
0.03576 139.4 95.874473062
0.03623 139.0 95.659143225
0.03653 138.8 95.562456416
0.03685 138.6 95.46841665900001
0.03716 138.4 95.371489824
0.03748 138.2 95.27789306099999
0.03812 137.7 95.02062858
0.03877 137.2 94.764793228
0.03909 137.0 94.67186144499999
0.03976 136.5 94.4198584875
0.0401 136.3 94.32853719100001
0.04069 135.8 94.06603362800001
0.04112 135.5 93.91920985000002
0.04173 135.1 93.729777974
0.04199 134.9 93.62879382599999
0.04252 134.5 93.42784663500001
0.04324 133.9 93.115515493
0.04397 133.3 92.80358730150002
0.04425 133.1 92.70561409999999
0.04499 132.6 92.46675890399999
0.04546 132.2 92.25723477599999
0.04622 131.6 91.951047972
0.04652 131.4 91.85532965100002
0.0473 130.7 91.48298141
0.04779 130.3 91.27662760200002
0.0486 129.7 90.97889832249999
0.04953 128.9 90.55760708400001
0.05027 128.4 90.31741321800001
0.05113 127.6 89.885488748
0.05146 127.4 89.796205135
0.05235 126.6 89.36654880599998
0.05325 125.9 89.01092733600001
0.05417 125.1 88.5860840925
0.05475 124.7 88.39200008700001
0.05532 124.2 88.12639566
0.05609 123.5 87.7464332225
0.057 122.8 87.39032159599999
0.05764 122.2 87.061103441
0.05803 121.9 86.90832463000001
0.05889 121.2 86.54139105600001
0.05978 120.4 86.106229006
0.06061 119.7 85.73250895650001
0.06119 119.2 85.463209612
0.06214 118.4 85.03469233599999
0.06277 117.9 84.77169165
0.06341 117.4 84.51023033599999
0.06412 116.8 84.18696091999999
0.06478 116.2 83.85327353199999
0.06551 115.6 83.531871602
0.06597 115.2 83.311388352
0.06658 114.7 83.04156353400002
0.06706 114.3 82.825130133
0.06778 113.6 82.425262632
0.06864 112.9 82.0443933075
0.06906 112.6 81.888886539
0.06971 112.0 81.54886936
0.07053 111.3 81.16108246050001
0.07145 110.5 80.7130967825
0.07229 109.8 80.324244351
0.07278 109.4 80.103290999
0.07342 108.9 79.829773353
0.07416 108.3 79.49555242650001
0.07466 107.8 79.19969465099999
0.07514 107.4 78.97510626900001
0.07583 106.9 78.7047364185
0.07665 106.2 78.30567261
0.07716 105.8 78.082694273
0.07776 105.2 77.72300925
0.07865 104.5 77.33021997249999
0.07953 103.8 76.933693563
0.08011 103.3 76.642145816
0.08068 102.8 76.349324074
0.08106 102.5 76.1777745
0.08163 102.0 75.88320447000001
0.08211 101.7 75.7230868125
0.08258 101.3 75.4890907445
0.08333 100.7 75.14168998150001
0.08389 100.2 74.842254237
0.08464 99.6 74.491732914
0.0852 99.15 74.22757221825002
0.08557 98.85 74.05093161824999
0.08641 98.18 73.65704877350001
0.08705 97.66 73.3489844616
0.08789 96.99 72.9515221791
0.08863 96.41 72.60737125374999
0.08904 96.07 72.40320497604999
0.08964 95.6 72.1226237
0.09038 95.02 71.77535527059999
0.09106 94.48 71.4496747172
0.09157 94.09 71.21592170545
0.09239 93.45 70.82919723075001
0.09285 93.09 70.61081530725001
0.09349 92.59 70.30611100339999
0.09395 92.24 70.094324388
0.0945 91.82 69.8389976367
0.09524 91.25 69.49034432500001
0.09561 90.97 69.31897716369998
0.09635 90.41 68.97591725139999
0.09718 89.78 68.5873344865
0.09788 89.25 68.25966779625
0.09839 88.87 68.02549662065002
0.09904 88.38 67.72115555639999
0.09951 88.03 67.50316636059999
0.10016 87.55 67.20428658025
0.10044 87.34 67.07323293329999
0.1011 86.85 66.7668780855
0.10185 86.3 66.4208998545
0.10223 86.02 66.24541315809999
0.10289 85.54 65.9425114166
0.10365 84.98 65.58817330660001
0.10427 84.54 65.31032067270002
0.1046 84.3 65.15780511
0.10517 83.88 64.8906613758
0.10565 83.54 64.67443957050001
0.10623 83.13 64.4123378058
0.10661 82.85 64.232685365
0.10729 82.38 63.93258769829999
0.10806 81.83 63.57779926995
0.10893 81.22 63.1847168599
0.1095 80.82 62.92610326169999
0.11036 80.23 62.544998579449995
0.1112 79.65 62.167764471750004
0.11175 79.27 61.91915885859999
0.11255 78.72 61.558859731199995
0.11317 78.3 61.2840902535
0.11369 77.95 61.05344380325
0.1141 77.67 60.869499387750004
0.11472 77.25 60.592139085
0.11554 76.7 60.228666563000004
0.11611 76.32 59.977241985599996
0.11669 75.94 59.7249695941
0.11741 75.46 59.40522849799999
0.11799 75.08 59.1511612178
0.11847 74.77 58.94397057475
0.11909 74.36 58.6691223976
0.11968 73.98 58.41373096710001
0.12037 73.54 58.118936304200005
0.12117 73.03 57.774723863800006
0.12208 72.44 57.3743083856
0.12289 71.93 57.02833167210001
0.12354 71.52 56.749443213599996
0.12435 71.01 56.40127850835001
0.12501 70.6 56.12085568199999
0.12567 70.19 55.83955658495
0.12611 69.92 55.654505226400005
0.12678 69.51 55.372339204350006
0.12766 68.97 54.99947921654999
0.12822 68.63 54.76442064915
0.12861 68.39 54.597898124
0.12929 67.99 54.32076993654999
0.13019 67.44 53.937726324
0.1307 67.14 53.7290505387
0.13121 66.84 53.5187559168
0.13201 66.36 53.182265043600005
0.13253 66.06 52.972599399299995
0.13333 65.59 52.642026333400004
0.13409 65.15 52.3319531465
0.13455 64.88 52.14107087119999
0.13531 64.44 51.82910939879999
0.13596 64.07 51.56748271199999
0.13637 63.84 51.40348058160001
0.13713 63.4 51.090191331999996
0.13761 63.13 50.897615550000005
0.1382 62.8 50.6624399
0.13862 62.56 50.489851896000005
0.13934 62.16 50.203536432
0.13988 61.86 49.988255634
0.14036 61.59 49.793618028000004
0.14096 61.26 49.555483683
0.14145 60.99 49.360997056500004
0.14199 60.7 49.152289355
0.14266 60.33 48.883703727000004
0.1434 59.93 48.59347339599999
0.14431 59.44 48.237946515999994
0.14499 59.08 47.975432498
0.14591 58.59 47.617701295500005
0.14659 58.23 47.35385882999999
0.14702 58.0 47.185175
0.14764 57.68 46.9502222
0.14856 57.2 46.5970076
0.14918 56.88 46.36121004
0.14973 56.59 46.14642868000001
0.15021 56.35 45.9693157
0.15116 55.86 45.605500500000005
0.15175 55.56 45.38310258
0.15268 55.09 45.033403135
0.15328 54.79 44.80967276
0.15422 54.32 44.45844844
0.15487 54.0 44.219060999999996
0.15528 53.79 44.061056490000006
0.15597 53.46 43.81426566
0.15692 52.99 43.46038438
0.15733 52.79 43.309364715
0.15801 52.46 43.06024343000001
0.15869 52.14 42.819114690000006
0.15923 51.88 42.622351220000006
0.15984 51.58 42.394530440000004
0.16045 51.29 42.17448475
0.16106 51.0 41.953977
0.16208 50.53 41.597079215
0.1629 50.14 41.298939149999995
0.16359 49.82 41.054395189999994
0.16469 49.31 40.663861325000006
0.16573 48.84 40.303256399999995
0.16635 48.55 40.080064099999994
0.16739 48.09 39.72690855
0.16816 47.74 39.45648938000001
0.16916 47.3 39.116863499999994
0.1698 47.01 38.892172169999995
0.17044 46.73 38.67533682
0.1715 46.26 38.31033465
0.17214 45.99 38.100852405000005
0.1728 45.7 37.87531455
0.17346 45.42 37.65699528
0.17433 45.04 37.36054488
0.1752 44.67 37.071856350000004
0.17565 44.49 36.930993285
0.17653 44.11 36.633332945
0.17698 43.93 36.49269493
0.17787 43.56 36.20247642
0.17831 43.37 36.053090669999996
0.1792 43.01 35.770535294999995
0.1798 42.76 35.573412319999996
0.1807 42.39 35.281430145
0.1816 42.03 34.99749837
0.18282 41.54 34.610047959999996
0.18404 41.06 34.23005907
0.18466 40.81 34.03174467
0.18589 40.33 33.65046474
0.18652 40.09 33.459735395
0.18777 39.6 33.0692274
0.18903 39.12 32.686050959999996
0.19031 38.64 32.30280816
0.19159 38.16 31.91820696
0.19289 37.68 31.533186240000003
0.19355 37.44 31.340518559999996
0.19486 36.96 30.95451744
0.19553 36.72 30.7609866
0.19685 36.24 30.37421172
0.19753 36.0 30.180222
0.19888 35.52 29.79197376
0.19956 35.29 29.606280824999995
0.20059 34.93 29.314705595000003
0.20163 34.57 29.022586670000003
0.20302 34.09 28.632787575000002
0.20442 33.62 28.250549799999998
0.20513 33.38 28.054855220000004
0.20656 32.91 27.671814029999997
0.20781 32.5 27.33726125
0.20907 32.09 27.001970050000004
0.21014 31.75 26.723594
0.21121 31.4 26.437120099999998
0.21228 31.07 26.1665326
0.21379 30.59 25.772319720000002
0.21529 30.13 25.394211795
0.2168 29.67 25.015845119999998
0.2183 29.22 24.644893109999998
0.21977 28.78 24.28200258
0.22124 28.35 23.926733775000002
0.22249 27.99 23.629311945
0.22501 27.27 23.033469149999995
0.22676 26.78 22.627104890000005
0.22852 26.29 22.220452594999998
0.23033 25.8 21.813384
0.23208 25.33 21.42246755
0.23385 24.87 21.039510165
0.23554 24.43 20.672775935
0.23723 24.0 20.314307999999997
0.23892 23.57 19.95539908
0.2406 23.16 19.612907040000003
0.24229 22.74 19.26143946
0.24571 21.93 18.583558755
0.24744 21.53 18.248472755
0.25094 20.74 17.58571562
0.2545 19.95 16.9221486
0.25631 19.57 16.602845525
0.25999 18.8 15.954761000000001
0.26187 18.42 15.635034150000001
0.26568 17.67 15.002837190000001
0.26761 17.3 14.6909351
0.27157 16.57 14.075162805000001
0.27562 15.84 13.458796559999998
0.2798 15.12 12.85051068
0.28409 14.42 12.259033220000001
0.28852 13.72 11.66722732
0.29308 13.04 11.09209132
0.2978 12.37 10.525206235
0.30268 11.71 9.966322450000002
0.30772 11.06 9.415765100000002
0.31255 10.47 8.915461515
0.317 9.956 8.479619782
0.32091 9.524 8.113014638
0.32421 9.174 7.816009476
0.32705 8.884 7.569825416000001
0.33008 8.583 7.314166526999999
0.3349 8.127 6.926751814500001
0.3383 7.818 6.664129652999999
0.34388 7.339 6.257022238499999
0.35006 6.843 5.8351800675000005
0.35647 6.363 5.4268786215
0.36316 5.9 5.032815050000001
0.37014 5.453 4.652363275
0.37372 5.238 4.469281596000001
0.37739 5.027 4.2895918835
0.38404 4.665 3.981246285
0.38957 4.385 3.74272905
0.39391 4.178 3.5663721350000004
0.39712 4.031 3.441099429
0.40045 3.885 3.316682775
0.40288 3.782 3.228899519
0.40636 3.639 3.1070418825
0.41053 3.475 2.9672486375000005
0.41476 3.317 2.8325421990000006
0.4191 3.162 2.70039543
0.42229 3.054 2.6083007669999994
0.42554 2.947 2.5170518555
0.43005 2.806 2.3968038259999997
0.43397 2.689 2.2970432929999998
0.43799 2.575 2.199804475
0.44173 2.472 2.1119532
0.44557 2.372 2.026628498
0.45317 2.187 1.8688275854999996
0.457 2.099 1.7937298360000005
0.46091 2.014 1.721177491
0.46477 1.933 1.65207711
0.46872 1.854 1.584647172
0.47289 1.774 1.5163735109999998
0.47716 1.696 1.4497908319999997
0.48475 1.567 1.3396713925000001
0.48997 1.485 1.2696690599999998
0.49304 1.438 1.2295331399999998
0.49644 1.389 1.187683896
0.49963 1.344 1.1492658240000002
0.50689 1.248 1.067292096
0.51369 1.164 0.995541264
0.52025 1.09 0.93233695
0.52667 1.021 0.8734032189999998
0.53299 0.959 0.8204374465000001
0.53919 0.9017 0.77149677425
0.5453 0.8489 0.7263799608
0.55131 0.8003 0.6848503226000001
0.55721 0.7555 0.6465689879999998
0.56301 0.7142 0.6112773521999999
0.56871 0.676 0.578622538
0.5743 0.6406 0.5483571232999999
0.57979 0.6079 0.52040525695
0.58517 0.5776 0.49449780000000004
0.59043 0.5496 0.47054828399999993
0.59556 0.5237 0.448397177
0.60053 0.5 0.428125
0.60526 0.4784 0.4096441128
0.60964 0.4594 0.39338858429999995
0.6135 0.4433 0.37960865085
0.61692 0.4296 0.3678877452
0.61949 0.4196 0.35932865599999997
0.62209 0.4098 0.350938377
0.62525 0.3981 0.3409268685
0.62747 0.3902 0.334163378
0.62972 0.3823 0.32739999965
0.63194 0.3747 0.32089701435
0.63419 0.3672 0.3144794436
0.63638 0.36 0.30831857999999995
0.6386 0.353 0.302332498
0.64074 0.3462 0.2965154532
0.64291 0.3396 0.2908747014
0.64501 0.3333 0.28549528095
0.64714 0.3271 0.2801994207
0.64918 0.3212 0.27516144039999996
0.65022 0.3182 0.27260273549999997
0.65225 0.3126 0.26782552049999997
0.65427 0.3071 0.2631380208
0.65625 0.3017 0.2585427201
0.65723 0.2991 0.2563266063
0.65821 0.2966 0.25420191979999995
0.6592 0.294 0.251991222
0.66014 0.2916 0.24995018880000003
0.66108 0.2892 0.2479148202
0.66203 0.2868 0.2458760778
0.66299 0.2844 0.2438412894
0.66388 0.2822 0.24197619969999998
0.66522 0.2789 0.23917864365
0.66612 0.2767 0.23731549045
0.66719 0.2742 0.23519861460000002
0.66843 0.2712 0.23266193759999998
0.66937 0.269 0.23080132750000001
0.66999 0.2675 0.22953439375
